학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,동계학기,대학,아트&테크놀로지학과,AAT2003,01,Intro to Digital Arts,조회,3.0,"월,화,수,목,금 13:00~15:45 [X513]",6.0,이형기,25,O,,,,,,,,,전학년,1-4학년,,구) ANT2004,X513 실습실에서 수업 진행
2023 학년도,동계학기,대학,생명과학과,BIO4100,01,생명과학현장실습,조회,3.0,,,"Lee, Hosuk Sean",1,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)생명과학인턴쉽","3~4학년 대상 현장실습과목,
자연과학부행정팀(R209호)에서 수강신청"
2023 학년도,동계학기,대학,화공생명공학과,CBE4100,01,인턴쉽I,,3.0,,,김정욱,3,,,O,,,,,,,전학년,3-4학년,,과목평가:S/U,수강승인: 학과에 문의
2023 학년도,동계학기,대학,전인교육원,CHS2002,01,현대한국의형성,조회,3.0,"월,화,수,목,금 13:00~15:45 [K307]",6.0,류일환,29,,,,,,,,,,전학년,1-2학년,,,
2023 학년도,동계학기,대학,전인교육원,COR1003,01,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 13:00~15:45 [J602]",6.0,조혜연,21,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",
2023 학년도,동계학기,대학,전인교육원,COR1010,01,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D105]",6.0,장나은,60,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2023 학년도,동계학기,대학,전인교육원,COR1012,01,인문사회글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J215]",6.0,이소연,24,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목
2023 학년도,동계학기,대학,전인교육원,COR1013,01,자연계글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J209]",6.0,김영경,27,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목
2023 학년도,동계학기,대학,컴퓨터공학과,CSE2035,01,컴퓨터프로그래밍II,조회,3.0,"월,화,수,목,금 13:00~15:45 [R912]",6.0,정영민,10,,,,,,,,,,전학년,1학년,,"중핵C언어(STS2008)기수강자,수강신청자모두수강불가,(구)C프로그래밍",(구) C프로그래밍
2023 학년도,동계학기,대학,컴퓨터공학과,CSE4190,01,인턴쉽,조회,3.0,,,정영민,13,,,O,,,,,,,,3-4학년,,,"컴퓨터공학전공 3학년 이상만
가능. 수강승인과목(문의: 713-8485)"
2023 학년도,동계학기,대학,경제학과,ECO2001,01,경제학원론I,조회,3.0,"월,화,수,목,금 09:00~11:45 [K203]",6.0,김숙영,45,,,,,,,,,,전학년,1학년,,,
2023 학년도,동계학기,대학,경제학과,ECO2002,01,경제학원론II,조회,3.0,"월,화,수,목,금 13:00~15:45 [K203]",6.0,김형욱,29,,,,,,,,,,전학년,1학년,,,
2023 학년도,동계학기,대학,경제학과,ECO2004,01,경제통계학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K307]",6.0,박경옥,33,,,,,,,,,,전학년,1학년,,,
2023 학년도,동계학기,대학,경제학과,ECO2008,01,수리경제학,조회,3.0,"월,화,수,목,금 13:00~15:45 [GN202]",6.0,김영철,15,,,,,,,,,,전학년,2학년,,"선수과목 : ECO2001, ECO2003(또는 STS2005 또는 STS2006)",
2023 학년도,동계학기,대학,경제학과,ECO3020,01,경제학현장실습,조회,3.0,,,김영익,16,,,O,,,,,,,전학년,3-4학년,,,"[대면]현장실습과목, 수강승인과목, 경제대학 홈페이지 참고"
2023 학년도,동계학기,대학,교육문화연계전공,EDU3035,01,교육봉사활동,조회,2.0,,,양미경,3,,,,,,,,,,전학년,3-4학년,,성적평가:S/U,교직이수학생만 신청가능
2023 학년도,동계학기,대학,전자공학과,EEE2187,01,전자공학현장실습,조회,3.0,,,정옥현,1,,,O,,,,,,,전학년,2학년,,,
2023 학년도,동계학기,대학,영미어문전공,ENG4001,01,영미어문현장실습,조회,3.0,,,황은주,1,,,O,,,,,,,,3-4학년,,,"현장실습과목, 전공과 관련한 인턴쉽 프로그램에 합격한 학생들에 한해 신청가능."
2023 학년도,동계학기,대학,전인교육원,ETS2002,01,논리와비판적사고,조회,3.0,"월,화,수,목,금 09:00~11:45 [J207]",6.0,이솔,39,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,동계학기,대학,여성학 연계전공,GES3009,01,여성심리학,조회,3.0,"월,화,수,목,금 13:00~15:45 [J215]",6.0,이정민,20,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,동계학기,대학,전인교육원,HFS2001,01,철학적인간학,조회,3.0,"월,화,수,목,금 09:00~11:45 [J219]",6.0,홍경자,24,,,,,,,,,,전학년,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,
2023 학년도,동계학기,대학,전인교육원,HFS2001,02,철학적인간학,조회,3.0,"월,화,수,목,금 13:00~15:45 [K405]",6.0,김선영,35,,,,,,,,,,전학년,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,
2023 학년도,동계학기,대학,전인교육원,HFS2002,01,신학적인간학,조회,3.0,"월,화,수,목,금 13:00~15:45 [J219]",6.0,유정원,20,,,,,,,,,,전학년,2학년,,신의문제(HFS2005)의 대체과목/그리스도교사상(HFS2004)의 대체과목,
2023 학년도,동계학기,대학,신문방송학과,JAS4036,01,나노디그리심화워크숍(데이터기반비즈니스창업),조회,,[GA109],,김수연,8,,,,,,,,,,전학년,1-4학년,,,특강 시간은 추후 지융미 홈페이지에 공지 예정
2023 학년도,동계학기,대학,신문방송학과,JAS4590,01,인턴십(계절),,3.0,,,김수연,1,,,O,,,,,,,전학년,3-4학년,,"구)언론정보현장실습, S/U과목",현장실습과목
2023 학년도,동계학기,대학,미디어&엔터테인먼트학과,MAE4039,01,나노디그리심화워크숍(미디어기업전략경영),조회,,[GA303B],,조재희,10,,,,,,,,,,전학년,1-4학년,,,특강 시간은 추후 지융미 홈페이지에 공지 예정
2023 학년도,동계학기,대학,지식융합미디어대학,MAS2003,01,한류,조회,3.0,"월,화,수,목,금 09:00~11:45 [J209]",6.0,최지선,27,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,동계학기,대학,수학과,MAT2010,01,집합론,조회,3.0,"월,화,수,목,금 09:00~11:45 [K309]",6.0,하구용,15,,,,,,,,,,전학년,2학년,,,
2023 학년도,동계학기,대학,수학과,MAT2110,01,선형대수학,조회,3.0,"월,화,수,목,금 13:00~15:45 [K212]",6.0,안소영,47,,,,,,,,,,전학년,2학년,,,
2023 학년도,동계학기,대학,수학과,MAT2120,01,정수론,조회,3.0,"월,화,수,목,금 13:00~15:45 [K309]",6.0,김순영,20,,,,,,,,,,전학년,2학년,,,
