학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,하계학기,대학,아트&테크놀로지학과,AAT3021,01,나노디그리심화워크숍(메타버스),,,[X513],,최용순,23,,,,,,,,,,전학년,1-4학년,,,특강 시간은 추후 지융미 홈페이지에 공지 예정
2023 학년도,하계학기,대학,아트&테크놀로지학과,AAT4012,01,Internship,,3.0,"월,화,수,목,금 09:00~11:45 [X427]",6.0,최용순,0,,,O,,,,,,,전학년,1-4학년,,과목평가:S/U,현장실습과목
2023 학년도,하계학기,대학,생명과학과,BIO1101,01,일반생물학I,조회,3.0,"월,화,수,목,금 13:00~15:45 [K212]",6.0,"김종찬, 김건수, 주봉건",22,,,,,,,,,,전학년,1학년,,,
2023 학년도,하계학기,대학,생명과학과,BIO4100,01,생명과학현장실습,조회,3.0,,,"Lee, Hosuk Sean",0,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)생명과학인턴쉽","3~4학년 대상 현장실습과목,
자연과학부행정팀(R209호)에서 수강신청"
2023 학년도,하계학기,대학,화공생명공학과,CBE4100,01,인턴쉽I,,3.0,,,김정욱,3,,,,,,,,,,전학년,3-4학년,,과목평가:S/U,수강승인: 학과에 문의
2023 학년도,하계학기,대학,화학과,CHM1001,01,일반화학I,조회,3.0,"월,화,수,목,금 13:00~15:45 [K303]",6.0,유수련,50,,,,,,,,,,전학년,1학년,,,
2023 학년도,하계학기,대학,화학과,CHM4056,01,화학현장실습I,조회,3.0,,,서원석,2,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)화학산업과인턴쉽1",현장실습과목
2023 학년도,하계학기,대학,전인교육원,CHS2004,01,현대서양의형성,조회,3.0,"월,화,수,목,금 13:00~15:45 [J217]",6.0,이종훈,21,,,,,,,,,,전학년,1-2학년,,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목,
2023 학년도,하계학기,대학,전인교육원,COR1003,01,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 09:00~11:45 [J319]",6.0,"Willers, Arthur Gregory",27,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",
2023 학년도,하계학기,대학,전인교육원,COR1010,01,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 09:00~11:45 [D105]",6.0,강은숙,47,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2023 학년도,하계학기,대학,전인교육원,COR1010,02,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D105]",6.0,장나은,43,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2023 학년도,하계학기,대학,전인교육원,COR1010,03,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D104]",6.0,권미수,55,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2023 학년도,하계학기,대학,전인교육원,COR1012,01,인문사회글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J209]",6.0,심진경,23,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목.
2023 학년도,하계학기,대학,전인교육원,COR1012,02,인문사회글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J209]",6.0,장서란,24,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목.
2023 학년도,하계학기,대학,전인교육원,COR1013,01,자연계글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J215]",6.0,김영경,28,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목.
2023 학년도,하계학기,대학,전인교육원,COR1013,02,자연계글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J215]",6.0,박진혁,26,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,구 <읽기와 쓰기>(COR1001) 대체 과목.
2023 학년도,하계학기,대학,컴퓨터공학과,CSE4190,01,인턴쉽,조회,3.0,,,정영민,8,,,O,,,,,,,,3-4학년,,,"컴퓨터공학전공 3학년 이상만 가능.
수강승인(문의: 713-8485)"
2023 학년도,하계학기,대학,경제학과,ECO2001,01,경제학원론I,조회,3.0,"월,화,수,목,금 09:00~11:45 [K403]",6.0,김숙영,44,,,,,,,,,,전학년,1학년,,,
2023 학년도,하계학기,대학,경제학과,ECO2002,01,경제학원론II,조회,3.0,"월,화,수,목,금 13:00~15:45 [K203]",6.0,김형욱,33,,,,,,,,,,전학년,1학년,,,
2023 학년도,하계학기,대학,경제학과,ECO2003,01,경제수리기초,조회,3.0,"월,화,수,목,금 09:00~11:45 [K208]",6.0,박경옥,26,,,,,,,,,,전학년,1학년,,,"미적분학I, II 수강자 및 07학번이전학생 수강불가"
2023 학년도,하계학기,대학,경제학과,ECO3020,01,경제학현장실습,,3.0,,,김영익,3,,,O,,,,,,,,3-4학년,,,"현장실습과목, 수강승인과목, 경제대학 홈페이지 참고"
2023 학년도,하계학기,대학,교육문화연계전공,EDU3035,01,교육봉사활동,조회,2.0,,,양미경,3,,,,,,,,,,전학년,3-4학년,,성적평가:S/U,외부 기관 봉사활동
2023 학년도,하계학기,대학,전자공학과,EEE2187,01,전자공학현장실습,,3.0,,,정옥현,0,,,O,,,,,,,,2학년,,,현장실습과목
2023 학년도,하계학기,대학,전인교육원,ETS2002,01,논리와비판적사고,조회,3.0,"월,화,수,목,금 13:00~15:45 [K307]",6.0,서상복,23,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,하계학기,대학,전인교육원,ETS2004,01,종교와세계문화,조회,3.0,"월,화,수,목,금 13:00~15:45 [J309]",6.0,배병훈,34,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,하계학기,대학,전인교육원,HFS2001,01,철학적인간학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K307]",6.0,홍경자,23,,,,,,,,,,전학년,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,
2023 학년도,하계학기,대학,전인교육원,HFS2001,02,철학적인간학,조회,3.0,"월,화,수,목,금 13:00~15:45 [K404]",6.0,김선영,37,,,,,,,,,,전학년,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,
2023 학년도,하계학기,대학,전인교육원,HFS2003,01,그리스도교윤리,조회,3.0,"월,화,수,목,금 13:00~15:45 [K405]",6.0,유정원,25,,,,,,,,,,전학년,2학년,,,
2023 학년도,하계학기,대학,신문방송학과,JAS4590,01,언론정보현장실습(계절),,3.0,,,김수연,2,,,O,,,,,,,,3-4학년,,S/U과목,
2023 학년도,하계학기,대학,전인교육원,LED3018,01,글로벌리더십체험실습(캡스톤디자인),조회,3.0,,,김지혜,6,,,O,,,,,,,,3-4학년,,,"참가자로 선발된 학생 대상, 체험실습과목(S/U평가)"
2023 학년도,하계학기,대학,지식융합미디어대학,MAS2003,01,한류,조회,3.0,"월,화,수,목,금 09:00~11:45 [K305]",6.0,김지연,32,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,하계학기,대학,지식융합미디어대학,MAS2011,01,Introduction to Visual Media Programming,조회,3.0,"월,화,수,목,금 13:00~15:45 [AS111]",6.0,서용덕,22,O,,,,,,,,,전학년,2-4학년,,,컴퓨터룸 사용하는 과목
2023 학년도,하계학기,대학,지식융합미디어대학,MAS3001,01,미디어커뮤니케이션조사론,조회,3.0,"월,화,수,목,금 13:00~15:45 [PA203]",6.0,조재희,19,,,,,,,,,,전학년,2-4학년,,"구)COM2004/커뮤.지융미(신방,미엔) 전공필수/광고PR조사방법론(COM3208)의대체과목",
2023 학년도,하계학기,대학,수학과,MAT2010,01,집합론,조회,3.0,"월,화,수,목,금 13:00~15:45 [K306]",6.0,하구용,15,,,,,,,,,,전학년,2학년,,,
2023 학년도,하계학기,대학,수학과,MAT2110,01,선형대수학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K301]",6.0,조성희,68,,,,,,,,,,전학년,2학년,,,
2023 학년도,하계학기,대학,수학과,MAT2120,01,정수론,조회,3.0,"월,화,수,목,금 13:00~15:45 [K309]",6.0,김순영,16,,,,,,,,,,전학년,2학년,,,
2023 학년도,하계학기,대학,수학과,MAT2230,01,미분방정식,조회,3.0,"월,화,수,목,금 13:00~15:45 [K208]",6.0,한상현,17,,,,,,,,,,전학년,2학년,,,
2023 학년도,하계학기,대학,수학과,MAT2420,01,응용수학II,조회,3.0,"월,화,수,목,금 09:00~11:45 [K203]",6.0,유지현,41,,,,,,,,,,전학년,2학년,컴퓨터공학과(가능),컴퓨터공학전공만 가능,
2023 학년도,하계학기,대학,수학과,MAT3020,01,통계학입문,조회,3.0,"월,화,수,목,금 09:00~11:45 [K201]",6.0,임경필,31,,,,,,,,,,전학년,2학년,,응용수학I(MAT2410)과 동등한 과목임,
2023 학년도,하계학기,대학,기계공학과,MEE4070,01,기계공학현장실습,,3.0,,,김동철,10,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)기계공학인턴쉽I","과목평가:S/U
현장실습과목/수강승인과목(문의:705-8631)/기계공학전공자만 가능"
2023 학년도,하계학기,대학,경영학부(경영학전공),MGT2002,01,경영통계학,조회,3.0,"월,화,수,목,금 13:00~15:45 [MA204]",6.0,정예숙,31,,,,,,,,,,전학년,1학년,"수학과,컴퓨터공학과(1전공 불가능)","수학,컴공전공자,통계학입문수강자 불가(통계학입문,경제통계학으로대체가능)",
2023 학년도,하계학기,대학,경영학부(경영학전공),MGT2003,01,회계학원론,조회,3.0,"월,화,수,목,금 13:00~15:45 [MA202]",6.0,김아람,52,,,,,,,,,,전학년,1-2학년,,,
2023 학년도,하계학기,대학,경영학부(경영학전공),MGT3007,01,국제경영론,조회,3.0,"월,화,수,목,금 09:00~11:45 [PA201]",6.0,김도의,49,,,,,,,,,,전학년,2-4학년,,,
