과목번호,과목명,학년도,학기,분반,강의계획서,요일,시작시간,종료시간,강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,수강대상,비고
HSS3005,수화의이해,2025 학년도,1학기,1,조회,['월'],13:30,16:15,J118,3.0,김미원,78,,,,,,,"[1, 2, 3, 4]",
CBE4010,화공재료,2024 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,K202,3.0,구기갑,74,,,,,,,"[3, 4]",화공생명공학전공 학생만 수강 가능
AAS2015,세계 속 아시아의 협력과 갈등,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,D402,3.0,배기현,11,O,,,,,,"[1, 2, 3, 4]",
AAS2024,현대 아시아의 중요 이슈들 Ⅰ,2025 학년도,1학기,1,조회,"['화', '목']",16:30,17:45,J110,3.0,유예지,6,O,,,,,,"[1, 2, 3, 4]",
AAT2002,Humanities & creativity,2025 학년도,1학기,1,조회,['월'],13:30,16:15,X514,3.0,정지수,25,O,,,,,,"[1, 2, 3, 4]",
AAT2004,Intro to Creative Computing,2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,X513,3.0,김주섭,38,O,,,,,,"[2, 3, 4]",
AAT2005,Creative Capstone Project I(캡스톤디자인),2025 학년도,1학기,1,조회,['금'],16:30,19:00,X514,3.0,"최용순, 오준호, 정해동, 이선옥",24,,,,,,,"[3, 4]",
AAT2006,Creative Capstone Project II(캡스톤디자인),2025 학년도,1학기,1,조회,['금'],16:30,19:00,X514,3.0,"최용순, 오준호, 정해동, 이선옥",10,,,,,,,"[3, 4]",
AAT2008,Foundations of Human-Computer Interaction,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,X429,3.0,최용순,37,O,,,,,,"[2, 3, 4]",
AAT2009,Interactive Storytelling,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,X429,3.0,김상용,29,O,,,,,,"[2, 3, 4]",
AAT3002,Content Planning & Development,2025 학년도,1학기,1,조회,['금'],10:30,13:15,X429,3.0,김민영,31,O,,,,,,"[2, 3, 4]",
AAT3003,Digital Fabrication(캡스톤디자인),2025 학년도,1학기,1,조회,"['화', '목']",16:30,17:45,X513,3.0,최용순,18,O,,,,,,"[2, 3, 4]",
AAT3004,Intro to Sonic Art,2025 학년도,1학기,1,조회,['화'],13:30,16:15,X513,3.0,오예민,35,O,,,,,,"[2, 3, 4]",
AAT3015,3D Modeling,2025 학년도,1학기,1,조회,['금'],10:30,13:15,X513,3.0,이형기,28,O,,,,,,"[2, 3, 4]",
AAT3019,Data Visualization,2025 학년도,1학기,1,조회,"['수', '금']",09:00,10:15,X513,3.0,"Kim, Jee Won",38,O,,,,,,"[2, 3, 4]",
AAT3020,Natural Language Processing,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,X423,3.0,정다샘,32,O,,,,,,"[2, 3, 4]",
AAT3022,Speculative Design,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,X423,3.0,이선옥,28,O,,,,,,"[2, 3, 4]",
AAT4001,Computer Graphics,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,X513,3.0,김주섭,14,O,,,,,,"[2, 3, 4]",
AAT4005,Games & Interactive Media,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,X513,3.0,김민영,35,O,,,,,,"[2, 3, 4]",
AAT4008,Visual Effects,2025 학년도,1학기,1,조회,['월'],13:30,16:15,X513,3.0,이형기,31,O,,,,,,"[2, 3, 4]",
AATG001,Metaverse: Design & Development(캡스톤디자인),2025 학년도,1학기,1,조회,['금'],13:30,16:15,GA704,3.0,정문열,1,,,,,,,"[2, 3, 4]",
AATG010,Generative AI,2025 학년도,1학기,1,조회,['목'],10:30,13:15,X423,3.0,정해동,21,,,,,,,"[2, 3, 4]",
AATG015,Deep learning for Music & Audio,2025 학년도,1학기,1,조회,['수'],13:30,16:15,X423,3.0,정다샘,14,,,,,,,"[3, 4]",
AATG800,Creative Entrepreneurship,2025 학년도,1학기,1,조회,['목'],13:30,16:15,X519,3.0,이용덕,5,,,,,,,"[1, 2, 3, 4]",
AIE2050,컴퓨터프로그래밍I,2025 학년도,1학기,1,조회,"['수', '금']",09:00,10:15,D105,3.0,이주호,11,O,,,,"[1,4,7]",,"[1, 2, 3]","""""""""""""""인공지능학 1전공자만 수강가능
학번 끝자리가 1, 4, 7"""""""""""""""
AIE3010,기초머신러닝,2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,R404,3.0,최준석,6,,,,,"[1,3,5,7,9]",,[3],학번 끝자리가 홀수
AIE3050,자료구조,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,K201,3.0,양지훈,14,,,,,"[2,4,6,8,0]",,"[2, 3]","""""""1전공 컴퓨터공학 학생 수강 불가
학번 끝자리가 짝수"""""""
AIE3054,컴퓨터시스템개론,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,R404,3.0,문의현,22,,,,,"[1,3,5,7,9]",,"[2, 3]",학번 끝자리가 홀수
AIE3091,소프트웨어개발도구및환경실습,2025 학년도,1학기,3,조회,['수'],15:00,20:50,R912,6.0,최재승,2,,,,,,,"[2, 3]",
AIE4012,기초컴퓨터그래픽스,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,R404,3.0,임인성,11,,,,,,,[3],
AIE4050,시스템프로그래밍,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,K201,3.0,김영재,3,,,,,"[1,3,5,7,9]",,[3],학번 끝자리가 홀수
AIE4051,컴퓨터아키텍쳐,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,K403,3.0,김주호,6,,,,,"[1,3,5,7,9]",,[3],학번 끝자리가 홀수
AIE4052,컴퓨터 네트워크,2025 학년도,1학기,1,조회,"['수', '금']",15:00,16:15,K201,3.0,김승욱,7,,,,,,,[3],
AIE4055,데이터베이스시스템,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,K302,3.0,정성원,9,,,,,,,[3],
AMC2020,문화와글쓰기,2025 학년도,1학기,1,조회,"['수', '금']",09:00,10:15,J313,3.0,안학영,21,O,,,,,,"[1, 2, 3, 4]","전학년 수강가능, 교환학생 수강불가"
AMC2031,미국학입문,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,J215,3.0,노재호,27,O,,,,,,[1],"1학년만 수강가능, 교환학생 수강불가"
AMC2033,미국문화사,2025 학년도,1학기,1,조회,"['화', '목']",16:30,17:45,J327,3.0,안학영,39,O,,,,,,"[1, 2, 3, 4]",전학년 수강가능
AMC3014,번역연습,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,J313,3.0,김혜진,13,O,,,,,,"[2, 3, 4]","234학년 수강가능, 교환학생 수강불가"
AMC3050,미국영화장르연구,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,J309,3.0,"Hantke, Steffen Horst",48,O,,,,,,"[2, 3, 4]","부제: Crime of Film, 2,3,4학년 수강가능"
