학과,과목번호,과목명,학점,권장학년,수강신청 참조사항,과목 설명
게페르트국제학부,AAS1001,아시아학 개론,3.0,"[1, 2, 3, 4]",,
게페르트국제학부,AAS2015,세계 속 아시아의 협력과 갈등,3.0,"[1, 2, 3, 4]",,구)아시아의 국제관계
게페르트국제학부,AAS2024,현대 아시아의 중요 이슈들 Ⅰ,3.0,"[1, 2, 3, 4]",,
아트&테크놀로지학과,AAT2002,Humanities & creativity,3.0,"[1, 2, 3, 4]",,구) ANT2003
아트&테크놀로지학과,AAT2003,Intro to Digital Arts,3.0,"[1, 2, 3, 4]",,구) ANT2004
아트&테크놀로지학과,AAT2004,Intro to Creative Computing,3.0,"[1, 2, 3, 4]",,구) ANT2010
아트&테크놀로지학과,AAT2005,Creative Capstone Project I(캡스톤디자인),3.0,"[3, 4]",,구) ANT4020
아트&테크놀로지학과,AAT2006,Creative Capstone Project II(캡스톤디자인),3.0,"[3, 4]",,구) ANT4013
아트&테크놀로지학과,AAT2008,Foundations of Human-Computer Interaction,3.0,"[2, 3, 4]",,
아트&테크놀로지학과,AAT2009,Interactive Storytelling,3.0,"[2, 3, 4]",,전공필수대체과목(2015-2018학번)
아트&테크놀로지학과,AAT3002,Content Planning & Development,3.0,"[3, 4]",,"구)CONTENT PLANNING, DEVELOPMENT & BUSINE"
아트&테크놀로지학과,AAT3003,Digital Fabrication(캡스톤디자인),3.0,"[2, 3, 4]",,구)ANT2009실감형콘텐츠프로젝트/인터랙션을위한센싱및인터페이스(ANT4
아트&테크놀로지학과,AAT3004,Intro to Sonic Art,3.0,"[2, 3, 4]",,
아트&테크놀로지학과,AAT3005,Visual Design,3.0,"[1, 2]",,
아트&테크놀로지학과,AAT3007,Network Media,3.0,"[2, 3, 4]",,구)INTRO TO WEB DEVELOPMENT
아트&테크놀로지학과,AAT3008,Creative Algorithms,3.0,"[1, 2]",,
아트&테크놀로지학과,AAT3009,Sound Production,3.0,"[3, 4]",,구)SOUND DESIGN
아트&테크놀로지학과,AAT3010,Visual Story,3.0,"[1, 2]",,
아트&테크놀로지학과,AAT3015,3D Modeling,3.0,"[2, 3, 4]",,구)3D MODELING STUDIO
아트&테크놀로지학과,AAT3016,UI/UX Design(캡스톤디자인),3.0,"[3, 4]",,구)UI/UX DESIGN
아트&테크놀로지학과,AAT3019,Data Visualization,3.0,"[2, 3, 4]",,"AAT3017, ANT3004의 대체과목"
아트&테크놀로지학과,AAT3020,Natural Language Processing,3.0,"[2, 3, 4]",,MAS2009의 대체과목
아트&테크놀로지학과,AAT3021,나노디그리심화워크숍(메타버스),,"[1, 2, 3, 4]",,
아트&테크놀로지학과,AAT3022,Speculative Design,3.0,"[2, 3, 4]",,
아트&테크놀로지학과,AAT4001,Computer Graphics,3.0,"[2, 3, 4]",,
아트&테크놀로지학과,AAT4002,Advanced Web Development(캡스톤디자인),3.0,"[2, 3, 4]",,"구) ANT3003, 구)WEB STUDIO,ADVANCED WEB DE"
